codigo_ibg,UF,MUNIC,DMU,Score,Beta,Área_prop,Orient_tecn,Queimada,Agricultura_ organ,Trabalho_infantil,Laço_parentesco,Financiamento,Sabem_ ler,Köppen,Altitude,T_Mean,R_Mean,X,Y
1100015,Rondônia,      Alta Floresta D'Oeste,1,0.705754,0.4169252,0.98,0.00,1.00,0.02,0.05,0.88,0.86,0.33,Am,246.08,25.42,192.76,-62.2700,-12.4700
1100023,Rondônia,      Ariquemes,2,0.811216,0.2327175,0.95,0.01,1.00,0.00,0.06,0.88,0.94,0.18,Am,165.90,25.93,204.29,-62.9600,-9.9500
1100031,Rondônia,      Cabixi,3,0.622494,0.60644,0.93,0.00,1.00,0.00,0.03,0.94,0.84,0.11,Am,224.18,25.55,187.75,-60.6400,-13.4700
1100049,Rondônia,      Cacoal,4,0.683293,0.4635007,0.96,0.00,1.00,0.00,0.04,0.92,0.87,0.18,Am,229.95,25.83,197.53,-61.3200,-11.3000
1100056,Rondônia,      Cerejeiras,5,0.685926,0.4578828,0.93,0.00,1.00,0.01,0.06,0.87,0.79,0.21,Am,192.22,25.64,190.58,-61.2600,-13.2000
1100064,Rondônia,      Colorado do Oeste,6,0.635914,0.5725407,0.98,0.00,1.00,0.00,0.07,0.86,0.84,0.26,Am,359.62,25.12,191.15,-60.5500,-13.1600
1100072,Rondônia,      Corumbiara,7,0.651803,0.5342066,0.98,0.01,1.00,0.00,0.06,0.86,0.79,0.36,Am,266.89,25.44,192.66,-61.0900,-12.9300
1100080,Rondônia,      Costa Marques,8,0.738212,0.3546245,0.98,0.01,1.00,0.00,0.08,0.81,0.93,0.60,Am,190.01,25.33,201.40,-64.0600,-12.1500
1100098,Rondônia,      Espigão D'Oeste,9,0.697258,0.4341897,0.98,0.00,1.00,0.01,0.07,0.85,0.88,0.35,Am,296.94,25.65,207.11,-60.7800,-11.3500
1100106,Rondônia,      Guajará-Mirim,10,0.75083,0.3318597,0.87,0.01,1.00,0.01,0.05,0.88,0.86,0.54,Am,197.96,25.32,205.62,-64.5400,-11.3100
1100114,Rondônia,      Jaru,11,0.64627,0.5473399,0.99,0.00,1.00,0.02,0.05,0.88,0.90,0.25,Am,209.76,25.78,198.21,-62.5800,-10.5900
1100122,Rondônia,      Ji-Paraná,12,0.645759,0.548565,0.98,0.01,1.00,0.01,0.05,0.90,0.89,0.27,Am,193.68,26.00,201.83,-61.7600,-10.4600
1100130,Rondônia,      Machadinho D'Oeste,13,0.709588,0.4092688,0.93,0.01,1.00,0.04,0.08,0.83,0.88,0.38,Am,136.83,26.29,216.13,-62.0100,-9.2000
1100148,Rondônia,      Nova Brasilândia D'Oeste,14,0.695012,0.4388243,0.95,0.01,1.00,0.00,0.06,0.88,0.84,0.16,Am,249.30,25.57,189.91,-62.2800,-11.6400
1100155,Rondônia,      Ouro Preto do Oeste,15,0.626808,0.5953838,0.96,0.00,1.00,0.02,0.07,0.86,0.83,0.23,Am,220.01,25.82,196.01,-62.1700,-10.6100
1100189,Rondônia,      Pimenta Bueno,16,0.801897,0.2470422,1.00,0.00,1.00,0.00,0.03,0.93,0.92,0.27,Am,286.28,25.60,200.61,-60.8300,-11.8900
1100205,Rondônia,      Porto Velho,17,1,0,0.91,0.01,1.00,0.02,0.05,0.88,0.92,0.31,Am,120.26,25.86,208.15,-64.3100,-9.1500
